Homer_Motif_Name	Edited_Motif_name	Ensembl_Gene_Id
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	Atf3	ENSG00000162772
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer	JunB	ENSG00000171223
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	BATF	ENSG00000156127
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer	FOSL1	ENSG00000175592
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	AP-1	ENSG00000177606
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	FOSL2	ENSG00000075426
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	FOSL2	ENSG00000075426
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	Jun-AP1	ENSG00000177606
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer	Hoxb4	ENSG00000182742
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	Bach1	ENSG00000156273
Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer	Pdx1	ENSG00000139515
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	Bach2	ENSG00000112182
"PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)/Homer"	PAX3:FKHR-fusion	NOT_GENE
"FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer"	FXR	ENSG00000012504
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Chop	ENSG00000175197
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)/Homer	MITF	ENSG00000187098
HOXA9(Homeobox)/HSC-Hoxa9-ChIP-Seq(GSE33509)/Homer	HOXA9	ENSG00000078399
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer	Nrf2	ENSG00000116044
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)/Homer	Pbx3	ENSG00000167081
Meis1(Homeobox)/MastCells-Meis1-ChIP-Seq(GSE48085)/Homer	Meis1	ENSG00000143995
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer	GLI3	ENSG00000106571
HNF1b(Homeobox)/PDAC-HNF1B-ChIP-Seq(GSE64557)/Homer	HNF1b	ENSG00000275410
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)/Homer	HSF1	ENSG00000185122
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	c-Jun	ENSG00000177606
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer	MafK	ENSG00000198517
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB12	ENSG00000204366
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer	HOXA2	ENSG00000105996
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer	Srebp2	ENSG00000198911
Sox4(HMG)/proB-Sox4-ChIP-Seq(GSE50066)/Homer	Sox4	ENSG00000124766
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	Pknox1	ENSG00000160199
"OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer"	POU3F1	ENSG00000185668
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	Atf2	ENSG00000115966
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer	Hoxc9	ENSG00000180806
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer	NFE2	ENSG00000123405
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Atf4	ENSG00000128272
"Pax7(Paired,Homeobox),longest/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer"	Pax7	ENSG00000009709
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	Atf7	ENSG00000170653
"VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer"	VDR	ENSG00000111424
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	CDX4	ENSG00000131264
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer	HSF1	ENSG00000185122
Tbet(T-box)/CD8-Tbet-ChIP-Seq(GSE33802)/Homer	Tbet	ENSG00000073861
"Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer"	SMAD4	ENSG00000141646
Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)/Homer	Sox17	ENSG00000164736
"GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"	GATA3	ENSG00000107485
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer	EBNA1	ENSG00000117395
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer	Tcf3	ENSG00000071564
Hnf1(Homeobox)/Liver-Foxa2-Chip-Seq(GSE25694)/Homer	Hnf1	ENSG00000135100
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	Atf1	ENSG00000123268
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer	Lhx2	ENSG00000106689
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	ARNT	ENSG00000143437
ZNF692(Zf)/HEK293-ZNF692.GFP-ChIP-Seq(GSE58341)/Homer	ZNF692	ENSG00000171163
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	SRF	ENSG00000112658
Sox2(HMG)/mES-Sox2-ChIP-Seq(GSE11431)/Homer	Sox2	ENSG00000181449
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)/Homer	Prop1	ENSG00000175325
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPb	ENSG00000172216
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	Cdx2	ENSG00000165556
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer	THRa	ENSG00000126351
Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)/Homer	Sox6	ENSG00000110693
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	ZNF143	ENSG00000166478
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)/Homer	MafB	ENSG00000204103
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)/Homer	PBX1	ENSG00000185630
Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)/Homer	Sox3	ENSG00000134595
Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer	Limb-p300	ENSG00000100393
Tgif2(Homeobox)/mES-Tgif2-ChIP-Seq(GSE55404)/Homer	Tgif2	ENSG00000118707
Sox15(HMG)/CPA-Sox15-ChIP-Seq(GSE62909)/Homer	Sox15	ENSG00000129194
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer	DMC1	ENSG00000100206
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer	TFE3	ENSG00000068323
