SNP	AssociatedIndexSNP
rs1278522	rs17106184
rs1278518	rs17106184
rs1278516	rs17106184
rs199755876	rs17106184
rs146738936	rs17106184
rs17106184	rs17106184
rs113870552	rs17106184
rs72898921	rs17106184
rs72898923	rs17106184
rs143013445	rs17106184
rs3827730	rs35072907
rs3789576	rs17106184
rs141225922	rs17106184
rs113028610	rs17106184
rs72898957	rs17106184
rs12031188	rs35072907
rs35993240	rs35072907
rs5774091	rs35072907
rs34415491	rs35072907
rs11205760	rs35072907
rs35072907	rs35072907
rs12048510	rs35072907
rs2048636	rs35072907
rs72904726	rs35072907
rs139453863	rs35072907
rs11165354	rs11165354
rs10783003	rs11165354
rs7542900	rs7542900
rs9727115	rs9727115
rs12725220	rs9727115
rs4908321	rs9727115
rs10875179	rs9727115
rs12760466	rs9727115
rs2641348	rs10923931
rs6668119	rs10923931
rs2027447	rs10923931
rs2641346	rs10923931
rs2641352	rs10923931
rs3897478	rs10923931
rs699779	rs10923931
rs835576	rs10923931
rs835575	rs10923931
rs6685892	rs10923931
rs2793829	rs10923931
rs140552145	rs10923931
rs2493394	rs10923931
rs2493392	rs10923931
rs2493391	rs10923931
rs2493390	rs10923931
rs72697237	rs10923931
rs2453058	rs10923931
rs2493415	rs10923931
rs2934387	rs10923931
rs7534585	rs10923931
rs10127888	rs10923931
rs2453051	rs10923931
rs141625839	rs10923931
rs2934381	rs10923931
rs7515431	rs10923931
rs2641317	rs10923931
rs10923931	rs10923931
rs56302051	rs10923931
rs2793831	rs10923931
rs1493691	rs10923931
rs1738647	rs10923931
rs406767	rs10923931
rs41463147	rs10923931
rs200368423	rs10923931
rs72697266	rs10923931
rs12084158	rs10923931
rs202101188	rs10923931
rs112088479	rs10923931
rs111839943	rs11240074
rs11240075	rs11240074
rs6687939	rs67156297
rs6687971	rs67156297
rs67156297	rs67156297
rs34695561	rs67156297
rs12025518	rs67156297
rs35221765	rs67156297
rs34055426	rs67156297
rs72243017	rs67156297
rs72644188	rs17045328
rs1257575	rs17045328
rs11808746	rs17045328
rs17045328	rs17045328
rs2075423	rs2075423
rs9970073	rs2075423
rs340874	rs2075423
rs2785980	rs2820446
rs2785986	rs2820446
rs2785981	rs2820446
rs4846565	rs2820446
rs1337101	rs2820446
rs2820441	rs2820446
rs2785998	rs2820446
rs2820444	rs2820446
rs1415287	rs2820446
rs2820446	rs2820446
rs4846567	rs2820446
rs2820443	rs2820446
rs12131794	rs2820446
rs4846569	rs2820446
rs202104363	rs2820446
rs72750036	rs6426514
rs9725857	rs6426514
rs60587333	rs6426514
rs72750044	rs6426514
rs59441010	rs6426514
rs61244026	rs6426514
rs56232469	rs6426514
rs113590475	rs6426514
rs2273271	rs6426514
rs7545235	rs6426514
rs6426514	rs6426514
rs1045497	rs6426514
rs78121336	rs12027542
rs941818	rs12027542
rs78027361	rs12027542
rs113189579	rs12027542
rs113736501	rs12027542
rs80294820	rs12027542
rs76181456	rs12027542
rs77861269	rs12027542
rs147783597	rs12027542
rs111817684	rs12027542
rs12034616	rs12027542
rs9659828	rs12027542
rs12039298	rs12027542
rs79392862	rs12027542
rs75321931	rs12027542
rs16858825	rs12027542
rs1998274	rs12027542
rs10910113	rs12027542
rs10797444	rs12027542
rs12025630	rs12027542
rs12036421	rs12027542
rs12029164	rs12027542
rs10910114	rs12027542
rs150937899	rs12027542
rs76481291	rs12027542
rs79989163	rs12027542
rs4649444	rs12027542
rs12027542	rs12027542
rs61823924	rs12027542
rs61823925	rs12027542
rs200026175	rs12027542
rs79670733	rs12027542
rs12032186	rs12027542
rs4649445	rs12027542
rs750242	rs12027542
rs750240	rs12027542
rs523361	rs679992
rs12073009	rs679992
rs12074106	rs679992
